label	lmfdb_label	conductor	ainvs	disc_sign	r_lower	r_upper	rank_certified	sha2_rank_s	r_an	L_r_over_rfact	Omega_E	w1	regulator	sat_bound	torsion	tamagawa_prod	tamagawa_list	rootno	sha_an	sha_an_via_ellbsd	ellbsd_check_reldiff	lfun_taylor_check	time_ms
11a1		11	[0, -1, 1, -10, -20]	-1	0	0	yes	0	0	0.253841860855910684337758923350909461043898448366121733593427	1.26920930427955342168879461675454730521949224183060866796714	1.26920930427955342168879461675454730521949224183060866796714	1	1000	5	5	[5]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	4.318084277547222313 E-78	6
37a1		37	[0, 0, 1, -1, 0]	1	1	1	yes	0	1	0.305999773834052301820483683321676474452637774590771998534542	5.98691729246391925966401995890501635559516758274026597068105	2.99345864623195962983200997945250817779758379137013298534052	0.0511114082399688402358860997569420216095382022808529642492428	1000	1	1	[1]	-1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	8.636168555094444625 E-78	77
389a1		389	[0, 1, 1, -2, 0]	1	2	2	yes	0	2	0.759316500288426770230192607894722019078097516494924351585805	4.98042512171011015064271558388460492031211636067914008010994	2.49021256085505507532135779194230246015605818033957004005497	0.152460177943143751624324757049455823243727077486630817840281	1000	1	1	[1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	2.5908505665283333876 E-77	97
433a1		433	[1, 0, 0, 0, 1]	-1	2	2	yes	0	2	0.947020780865814533489726400980751253204348358146363081268190	4.21471019299848436759065578287827552916037505100599908227767	4.21471019299848436759065578287827552916037505100599908227767	0.224694163418166741612071133995500441366828602504245122090390	1000	1	1	[1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	8.636168555094444625 E-78	77
446d1		446	[1, -1, 0, -4, 4]	1	2	2	yes	0	2	0.940282604689620686941818184150605942852011005687583564977153	4.82973435285795418947595922277631399997290979093876166627535	2.41486717642897709473797961138815699998645489546938083313767	0.0973430975694570509774957394327049892081729396726904107377705	1000	1	2	[2, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.6408720254679444788 E-76	119
563a1		563	[1, 1, 1, -15, 16]	-1	2	2	yes	0	2	1.13455591700333387173270885324578807098267256342115224206780	5.17520902251514190727153531423987725146435860061068425812150	5.17520902251514190727153531423987725146435860061068425812150	0.219229003517995456286946191043342445936013182292306949635235	1000	1	1	[1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	3.454467422037777850 E-77	96
571b1		571	[0, 1, 1, -4, 2]	-1	2	2	yes	0	2	0.903160516971664469931148625257239378639223031143153033223034	5.09531461973913077518247727320461043060703949698825998236182	5.09531461973913077518247727320461043060703949698825998236182	0.177253140262004931744091099725954374009088919514882655913977	1000	1	1	[1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.7272337110188889251 E-77	107
643a1		643	[1, 0, 0, -4, 3]	-1	2	2	yes	0	2	1.14826173654899828084034002566380988121505588700996210732795	5.01031343314288891257631376914025122606194763454366836785768	5.01031343314288891257631376914025122606194763454366836785768	0.229179621568847078938767135198384435021016866064609892171531	1000	1	1	[1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	5.181701133056666775 E-77	87
655a1		655	[0, 0, 1, -13, 18]	-1	2	2	yes	0	2	0.888192110827498271674506759178519599010734413364364387886463	4.48792580493928401756965436790010849964915817702688741225234	4.48792580493928401756965436790010849964915817702688741225234	0.0989535198921937605455687057557254270470861012653720058654195	1000	1	2	[2, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	8.636168555094444625 E-77	117
664a1		664	[0, 0, 0, -7, 10]	-1	2	2	yes	0	2	1.37420267613501021147328261095410514067073335937100952253101	3.55362747468247074986595169539724350696889269023312344569052	3.55362747468247074986595169539724350696889269023312344569052	0.0966760504530515052579053796496668914274578957289736295212202	1000	1	4	[4, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	3.281744050935888958 E-76	86
681c1		681	[0, -1, 1, 0, 2]	-1	2	2	yes	0	2	1.02627114739401182837348384829757622713314808298749505828475	3.77084616854856453340970683113285506176513731771572167806919	3.77084616854856453340970683113285506176513731771572167806919	0.136079688950694268446478372652388595164331140664373493528812	1000	1	2	[2, 1]	1	1.00000000000000000000000000000000000000000000000000000000000	1.00000000000000000000000000000000000000000000000000000000000	0.E-76	1.7272337110188889251 E-77	85
