Clabel,conductor,ainvs,rank,torsion
5077a1,5077,"[0,0,1,-7,6]",3,1
11197a1,11197,"[1,-1,1,-6,0]",3,1
11642a1,11642,"[1,-1,0,-16,28]",3,1
12279a1,12279,"[0,-1,1,-10,12]",3,1
13766a1,13766,"[1,0,1,-23,42]",3,1
16811a1,16811,"[0,0,1,-1,6]",3,1
18097b1,18097,"[1,1,1,-10,6]",3,1
18562c1,18562,"[1,0,1,-20,30]",3,1
18745a1,18745,"[0,1,1,-146,636]",3,1
20888a1,20888,"[0,0,0,-52,100]",3,1
21443a1,21443,"[1,1,1,-5,6]",3,1
21858a1,21858,"[1,1,0,-32,60]",3,1
22481a1,22481,"[1,-1,1,6,2]",3,1
22696a1,22696,"[0,1,0,-105,379]",3,1
24301a1,24301,"[1,0,0,-44,109]",3,1
24546a1,24546,"[1,1,0,-39,81]",3,1
24646b1,24646,"[1,0,1,-13,12]",3,1
25071a1,25071,"[0,-1,1,-24,-16]",3,1
25383a1,25383,"[0,-1,1,-32,80]",3,1
25451a1,25451,"[1,1,1,-54,136]",3,1
25751a1,25751,"[1,0,0,-39,94]",3,1
26171a1,26171,"[0,0,1,-49,132]",3,1
26198a1,26198,"[1,-1,0,-16,16]",3,1
26284a1,26284,"[0,1,0,-9,16]",3,1
26743a1,26743,"[1,0,0,6,-5]",3,1
27262c1,27262,"[1,-1,1,-237,1365]",3,1
27382a1,27382,"[1,0,1,-10,0]",3,1
27448d1,27448,"[0,0,0,-79,274]",3,1
27584bd1,27584,"[0,0,0,-4,64]",3,1
27746a1,27746,"[1,0,1,-12,26]",3,1
27747c1,27747,"[0,0,1,-327,2286]",3,1
27773a1,27773,"[1,-1,1,-21,42]",3,1
27808a1,27808,"[0,0,0,-364,2656]",3,1
28042b1,28042,"[1,-1,0,-19,49]",3,1
28498a1,28498,"[1,-1,0,-13,25]",3,1
28571a1,28571,"[0,-1,1,-4,10]",3,1
29157b1,29157,"[0,1,1,-240,1190]",3,1
30064c1,30064,"[0,1,0,-152,676]",3,1
30148b1,30148,"[0,0,0,-37,85]",3,1
30376a1,30376,"[0,1,0,-25,-21]",3,1
30446a1,30446,"[1,1,0,-39,-59]",3,1
30487a1,30487,"[0,0,1,-28,-15]",3,1
30767d1,30767,"[0,0,1,-31,60]",3,1
30815a1,30815,"[0,1,1,-16,26]",3,1
31478b1,31478,"[1,0,1,-5,12]",3,1
31737a1,31737,"[0,-1,1,-34,90]",3,1
31814a1,31814,"[1,0,1,2,12]",3,1
32192e1,32192,"[0,0,0,-52,160]",3,1
32244c1,32244,"[0,-1,0,-30,81]",3,1
32276b1,32276,"[0,1,0,-17,16]",3,1
32336b1,32336,"[0,1,0,-32,4]",3,1
33424o1,33424,"[0,-1,0,-312,2224]",3,1
33428a1,33428,"[0,1,0,-45,79]",3,1
33509a1,33509,"[0,1,1,-22,32]",3,1
33609a1,33609,"[1,1,1,-232,1262]",3,1
33709a1,33709,"[1,-1,1,-48,-42]",3,1
33914a1,33914,"[1,0,1,-28,282]",3,1
34415a1,34415,"[1,0,0,9,100]",3,1
34862a1,34862,"[1,-1,1,-57,345]",3,1
35003a1,35003,"[0,1,1,18,-18]",3,1
35083c1,35083,"[0,1,1,-4,8]",3,1
35234a1,35234,"[1,1,0,-181,749]",3,1
35243b1,35243,"[1,0,0,-22,21]",3,1
35882b1,35882,"[1,-1,0,-64,244]",3,1
36094c1,36094,"[1,-1,1,-162,1185]",3,1
36739a1,36739,"[1,1,1,-14,-24]",3,1
37229a1,37229,"[1,0,0,-9,4]",3,1
37544c1,37544,"[0,1,0,-177,1171]",3,1
38439b1,38439,"[0,0,1,-57,76]",3,1
38600m1,38600,"[0,0,0,-175,850]",3,1
38601a1,38601,"[0,0,1,3,16]",3,1
39023a1,39023,"[1,-1,1,-6,12]",3,1
39077c1,39077,"[0,1,1,-90,300]",3,1
39289a1,39289,"[0,1,1,-257,1500]",3,1
39883a1,39883,"[0,1,1,-14,18]",3,1
40331c1,40331,"[0,-1,1,8,-8]",3,1
40929a1,40929,"[0,-1,1,-42,110]",3,1
41001a1,41001,"[0,-1,1,-134,644]",3,1
41107a1,41107,"[0,1,1,-82,182]",3,1
41406b1,41406,"[1,1,0,-69,189]",3,1
41775k1,41775,"[0,-1,1,-58,168]",3,1
41785a1,41785,"[0,1,1,-286,1766]",3,1
41933a1,41933,"[1,0,0,-95,346]",3,1
42093a1,42093,"[0,0,1,-21,22]",3,1
42153a1,42153,"[0,-1,1,-6,20]",3,1
42190a1,42190,"[1,0,1,-19,42]",3,1
42264a1,42264,"[0,0,0,-252,1620]",3,1
42384a1,42384,"[0,-1,0,-80,336]",3,1
42526b1,42526,"[1,0,1,-78,272]",3,1
42528c1,42528,"[0,-1,0,-65,81]",3,1
42584c1,42584,"[0,1,0,-44,112]",3,1
