Clabel,conductor,ainvs,rank,torsion,sha
194040co6,194040,"[0,0,0,-456382227,-3752677112114]",2,2,4
194766c4,194766,"[1,0,0,-2077504,-1152726172]",2,2,4
226005g3,226005,"[1,1,1,-268695,67104702]",2,4,4
226920a6,226920,"[0,1,0,-73824640,-244170894880]",2,2,4
245310bs8,245310,"[1,1,1,-2143488860,-38197932575245]",2,2,4
256410m4,256410,"[1,-1,0,-3359385,-2369097365]",2,2,4
256410q5,256410,"[1,-1,0,-455384160,3740487540790]",2,2,4
297330bm4,297330,"[1,0,0,-13993740,-20149947900]",2,2,4
305256n4,305256,"[0,1,0,-1628032,-800087200]",2,2,4
312018bm4,312018,"[1,1,1,-3745349,9047227241]",2,2,4
341202w5,341202,"[1,0,0,1452466,-511279512]",2,2,4
348910q4,348910,"[1,-1,1,-4597537,-3791114439]",2,2,4
356730cg4,356730,"[1,0,0,-346225,-78441235]",2,2,4
370230cc4,370230,"[1,0,0,-433475,-109884645]",2,2,4
373230s4,373230,"[1,-1,0,-1289882880,-17830588500144]",2,2,4
389130p4,389130,"[1,0,1,-1428248,-657100744]",2,2,4
389298cf3,389298,"[1,0,0,-8305024,9211425080]",2,2,4
392190k2,392190,"[1,1,1,-9659056,10808195993]",2,2,4
392190n2,392190,"[1,1,1,-5456,-157387]",2,2,4
394485g8,394485,"[1,1,1,-78579308086,-8478364648413622]",2,2,4
395850e6,395850,"[1,1,0,-4724475,-3954397125]",2,2,4
401709b4,401709,"[1,1,1,-59523632784,-5589644447990010]",2,2,4
413490da4,413490,"[1,0,0,-1260210,-544623348]",2,2,4
427025b4,427025,"[1,-1,1,-2285605,-1329366228]",2,2,4
428298m2,428298,"[1,1,0,-251982140,-1536766349538]",2,2,4
433590v4,433590,"[1,0,0,-115624000,-478551677068]",2,2,4
439110q4,439110,"[1,-1,0,-57435,-5283145]",2,2,4
442680ba3,442680,"[0,1,0,341984,-45496480]",2,2,4
448800bh4,448800,"[0,-1,0,-149608,-22223288]",2,2,4
451248f4,451248,"[0,-1,0,-9626624,-11493119232]",2,2,4
453390bu4,453390,"[1,1,1,-266896,-53182411]",2,2,4
457470j4,457470,"[1,-1,0,-488085,-131125609]",2,2,4
463080b4,463080,"[0,-1,0,-2469760,-1493107028]",2,2,4
465120g4,465120,"[0,0,0,-1395363,-634422998]",2,2,4
472290a4,472290,"[1,1,0,-189903,-31930773]",2,2,4
485112h4,485112,"[0,1,0,-2587264,-1602666208]",2,2,4
485826t4,485826,"[1,1,1,-27842,-1694521]",2,2,4
488070bp4,488070,"[1,-1,0,-2688354,-6364417860]",2,2,4
491970bp4,491970,"[1,1,1,-11104090891,-450377916058711]",2,2,4
494760co4,494760,"[0,1,0,-1697120,-851540592]",2,2,4
495482q4,495482,"[1,-1,1,-312631,-67196325]",2,2,4
499290e4,499290,"[1,1,0,-11458,-452978]",2,2,4
