Clabel,lmfdb_label,conductor,rank,analytic_rank,sha,sha_primes,torsion,torsion_structure,ainvs,optimality,manin_constant,cm,semistable,bad_primes,regulator,signD,num_bad_primes
194040co6,194040.cu1,194040,2,2,4,[2],2,[2],"[0, 0, 0, -456382227, -3752677112114]",0,1,0,False,"[2, 3, 5, 7, 11]",107.04894931198870633224499118,1,5
194766c4,194766.bg1,194766,2,2,4,[2],2,[2],"[1, 0, 0, -2077504, -1152726172]",0,1,0,True,"[2, 3, 11, 13, 227]",73.029393944916814150362428941,1,5
226005g3,226005.b5,226005,2,2,4,[2],4,[4],"[1, 1, 1, -268695, 67104702]",0,1,0,True,"[3, 5, 13, 19, 61]",14.136135654472850039729699307,-1,5
226920a6,226920.h1,226920,2,2,4,[2],2,[2],"[0, 1, 0, -73824640, -244170894880]",0,1,0,False,"[2, 3, 5, 31, 61]",164.71431793844876287923065060,1,5
245310bs8,245310.bs1,245310,2,2,4,[2],2,[2],"[1, 1, 1, -2143488860, -38197932575245]",0,1,0,True,"[2, 3, 5, 13, 17, 37]",107.59189470948875628595780545,1,6
256410m4,256410.m1,256410,2,2,4,[2],2,[2],"[1, -1, 0, -3359385, -2369097365]",0,1,0,False,"[2, 3, 5, 7, 11, 37]",21.921830039985959412950788272,1,6
256410q5,256410.q1,256410,2,2,4,[2],2,[2],"[1, -1, 0, -455384160, 3740487540790]",0,1,0,False,"[2, 3, 5, 7, 11, 37]",9.9260005722003181781904579861,1,6
297330bm4,297330.bm1,297330,2,2,4,[2],2,[2],"[1, 0, 0, -13993740, -20149947900]",0,1,0,True,"[2, 3, 5, 11, 17, 53]",13.270669317160799982502334206,1,6
305256n4,305256.n1,305256,2,2,4,[2],2,[2],"[0, 1, 0, -1628032, -800087200]",0,1,0,False,"[2, 3, 7, 23, 79]",141.53920910338295821152652544,1,5
312018bm4,312018.bm3,312018,2,2,4,[2],2,[2],"[1, 1, 1, -3745349, 9047227241]",0,1,0,True,"[2, 3, 7, 17, 19, 23]",84.138031492549986236880853663,-1,6
341202w5,341202.w6,341202,2,2,4,[2],2,[2],"[1, 0, 0, 1452466, -511279512]",0,1,0,True,"[2, 3, 19, 41, 73]",7.8634268136389463400165415786,-1,5
348910q4,348910.q1,348910,2,2,4,[2],2,[2],"[1, -1, 1, -4597537, -3791114439]",0,1,0,True,"[2, 5, 23, 37, 41]",2.5906767428810891916215530188,1,5
356730cg4,356730.cg1,356730,2,2,4,[2],2,[2],"[1, 0, 0, -346225, -78441235]",0,1,0,True,"[2, 3, 5, 11, 23, 47]",32.210776294085657417018321905,1,6
370230cc4,370230.cc1,370230,2,2,4,[2],2,[2],"[1, 0, 0, -433475, -109884645]",0,1,0,True,"[2, 3, 5, 7, 41, 43]",25.032001307238912728103291532,1,6
373230s4,373230.s1,373230,2,2,4,[2],2,[2],"[1, -1, 0, -1289882880, -17830588500144]",0,1,0,False,"[2, 3, 5, 11, 13, 29]",110.42213230140374140252237967,1,6
389130p4,389130.p1,389130,2,2,4,[2],2,[2],"[1, 0, 1, -1428248, -657100744]",0,1,0,True,"[2, 3, 5, 7, 17, 109]",9.2345672754139866144125677699,1,6
389298cf3,389298.cf1,389298,2,2,4,[2],2,[2],"[1, 0, 0, -8305024, 9211425080]",0,1,0,True,"[2, 3, 7, 13, 23, 31]",12.397222923820761320581268386,1,6
392190k2,392190.k1,392190,2,2,4,[2],2,[2],"[1, 1, 1, -9659056, 10808195993]",0,1,0,True,"[2, 3, 5, 17, 769]",3.4886450319357566916823362791,1,5
392190n2,392190.n1,392190,2,2,4,[2],2,[2],"[1, 1, 1, -5456, -157387]",0,1,0,True,"[2, 3, 5, 17, 769]",8.1485332305593306046946718329,1,5
394485g8,394485.g1,394485,2,2,4,[2],2,[2],"[1, 1, 1, -78579308086, -8478364648413622]",0,1,0,False,"[3, 5, 7, 13, 17]",106.08746913246649704168671935,1,5
395850e6,395850.e1,395850,2,2,4,[2],2,[2],"[1, 1, 0, -4724475, -3954397125]",0,1,0,False,"[2, 3, 5, 7, 13, 29]",10.905216898829349234755591810,1,6
401709b4,401709.b1,401709,2,2,4,[2],2,[2],"[1, 1, 1, -59523632784, -5589644447990010]",0,1,0,True,"[3, 7, 11, 37, 47]",194.96695121512506962689403803,1,5
413490da4,413490.da1,413490,2,2,4,[2],2,[2],"[1, 0, 0, -1260210, -544623348]",0,1,0,True,"[2, 3, 5, 7, 11, 179]",33.536015798954366332806613963,1,6
427025b4,427025.b1,427025,2,2,4,[2],2,[2],"[1, -1, 1, -2285605, -1329366228]",0,1,0,False,"[5, 19, 29, 31]",16.640540435955725391791740937,1,4
